borrower_id,age,gender,education_level,village_state,occupation_type,family_members,dependents,land_size_acres,crop_type,rainfall_mm,irrigation_type,soil_quality_index,annual_yield_tonnes,shop_monthly_revenue,business_expenses,inventory_value,annual_income,mobile_transactions_per_month,loan_amount_requested,previous_loans,previous_defaults,loan_repayment_status
R0472,27,Female,Primary,Uttar Pradesh,Farmer,6,5,8.02,Sugarcane,943.6,Borewell,64,12.21,0,0,0,451634.6,20,43085,3,1,1
R0473,41,Male,Graduate,Telangana,Farmer,3,2,3.43,Groundnut,718.4,Borewell,58,7.54,0,0,0,159084.88,24,147701,1,0,1
R0474,32,Male,Secondary,Bihar,Farmer,2,1,5.24,Rice,1203.9,Canal,78,6.54,0,0,0,301628.75,22,75817,1,0,1
R0475,49,Female,None,Gujarat,Farmer,6,0,5.7,Cotton,1019.4,Rain-fed,43,6.68,0,0,0,249729.14,17,168540,1,1,0
R0476,29,Male,Secondary,Uttar Pradesh,Farmer,6,2,1.33,Wheat,710.3,Rain-fed,66,2.82,0,0,0,67077.29,15,148821,1,0,0
R0477,64,Male,Secondary,Gujarat,Farmer,4,0,3.34,Pulses,698.3,Rain-fed,64,2.85,0,0,0,101479.41,16,36626,3,0,1
R0478,50,Male,Secondary,Andhra Pradesh,Farmer,4,2,5.48,Cotton,507.5,Rain-fed,79,10.6,0,0,0,180407.59,18,199347,0,0,1
R0479,60,Male,Secondary,Gujarat,Farmer,6,5,6.28,Pulses,967,Borewell,56,7.68,0,0,0,270467.64,11,199812,2,0,1
R0480,51,Female,Secondary,Gujarat,Shopkeeper,6,1,0,None,0,NA,0,0,138393.42,96774.86,66466.55,77359.26,14,91273,1,1,0
R0481,60,Male,Secondary,Tamil Nadu,Farmer,5,3,3.82,Cotton,963.2,Borewell,40,8.15,0,0,0,162912.41,17,69443,1,0,1
R0482,24,Female,Secondary,Kerala,Farmer,4,0,3.67,Millets,1167,Borewell,86,3.18,0,0,0,196289.16,22,136184,0,0,0
R0483,32,Female,Graduate,Karnataka,Daily Wage,5,3,0,None,0,NA,0,0,267463.98,169779.34,50666.53,137405.01,24,150257,1,0,0
R0484,54,Female,Secondary,Gujarat,Daily Wage,5,0,0,None,0,NA,0,0,153415.31,75411.32,51779.63,115849.45,28,119705,2,0,0
R0485,55,Male,Secondary,Tamil Nadu,Farmer,4,2,1.92,Rice,1025.9,Canal,61,2.23,0,0,0,114864.47,24,130837,1,0,1
R0486,58,Male,Secondary,Kerala,Farmer,4,0,1.32,Cotton,886.8,Canal,63,2.57,0,0,0,62173.67,18,58451,2,0,1
R0487,27,Female,Secondary,Maharashtra,Farmer,2,1,8.09,Sugarcane,769.4,Canal,52,13.35,0,0,0,385370.05,23,76799,3,0,1
R0488,40,Male,Secondary,Andhra Pradesh,Dairy,6,5,0,None,0,NA,0,0,97489.58,63794.85,51951.15,49075.41,23,143519,1,0,0
R0489,65,Male,Primary,Maharashtra,Farmer,2,0,8.95,Wheat,833,Borewell,73,7.45,0,0,0,457918.73,21,172486,2,1,1
R0490,60,Male,Primary,Karnataka,Farmer,4,2,7.84,Wheat,968.5,Rain-fed,57,16.97,0,0,0,458144.56,20,98321,1,0,1
R0491,59,Male,Secondary,Tamil Nadu,Farmer,6,2,9.46,Corn,948.3,Rain-fed,76,12.02,0,0,0,537822.76,21,90337,1,1,1
R0492,41,Female,None,Maharashtra,Farmer,5,0,1.01,Millets,669.8,Rain-fed,65,0.9,0,0,0,21482.45,19,133164,3,0,0
R0493,32,Male,Secondary,Gujarat,Farmer,2,1,3.45,Groundnut,673.9,Rain-fed,70,7.82,0,0,0,191280.89,15,78708,1,0,0
R0494,36,Female,Primary,Madhya Pradesh,Daily Wage,7,2,0,None,0,NA,0,0,252633.67,201827.82,12101.82,87726.83,19,40607,2,0,1
R0495,50,Male,Primary,Karnataka,Farmer,8,2,3.81,Sugarcane,1024.5,Rain-fed,72,5.22,0,0,0,86413.32,12,42076,3,0,0
R0496,40,Male,Secondary,Kerala,Farmer,5,4,6.4,Sugarcane,768.1,Canal,70,10.22,0,0,0,196751.91,13,55037,0,0,1
R0497,64,Female,Secondary,Madhya Pradesh,Farmer,4,1,6.86,Groundnut,759,Borewell,47,16.84,0,0,0,345549.86,17,85463,3,0,1
R0498,48,Male,Graduate,Kerala,Shopkeeper,2,0,0,None,0,NA,0,0,131852.01,65003.36,19077.53,84542.54,18,40636,3,0,0
R0499,23,Male,Secondary,Tamil Nadu,Daily Wage,6,5,0,None,0,NA,0,0,110521.67,79974.53,20284.53,50826.49,26,44065,1,0,0
R0500,38,Female,Secondary,Bihar,Shopkeeper,3,0,0,None,0,NA,0,0,176289.12,91840.96,49438.59,118562.31,14,115936,2,0,0
R0501,63,Female,Secondary,Madhya Pradesh,Shopkeeper,4,0,0,None,0,NA,0,0,94578.91,61438.4,29154.83,57775.54,12,82099,3,0,0
R0502,23,Female,Graduate,Odisha,Farmer,2,1,3.18,Rice,662.8,Canal,55,6.46,0,0,0,136649.38,22,176575,3,0,0
R0503,45,Female,Secondary,Madhya Pradesh,Farmer,7,1,2.29,Millets,435.6,Canal,93,3.05,0,0,0,95082.88,26,63178,3,0,0
R0504,62,Male,None,Telangana,Farmer,7,0,8.91,Millets,1240.5,Rain-fed,48,14.59,0,0,0,350405.66,25,176165,1,0,1
R0505,49,Female,Primary,Bihar,Shopkeeper,6,3,0,None,0,NA,0,0,157633.15,83749.43,41779.29,106757.13,14,191746,3,0,0
R0506,47,Male,Primary,Bihar,Shopkeeper,7,1,0,None,0,NA,0,0,102117.99,64037.27,50552.01,62769.45,22,123953,2,0,0
R0507,43,Male,Secondary,Maharashtra,Farmer,7,2,5.07,Wheat,885.1,Borewell,49,7.26,0,0,0,235586.12,14,61496,2,0,1
R0508,59,Male,Primary,Tamil Nadu,Dairy,7,5,0,None,0,NA,0,0,126874.34,61849.2,22798.64,99796.47,14,165614,0,0,0
R0509,54,Female,None,Bihar,Farmer,4,0,5.37,Groundnut,756.4,Borewell,76,9.38,0,0,0,288931.96,24,144370,2,0,1
R0510,38,Female,None,Telangana,Farmer,6,5,7.96,Corn,853.9,Borewell,43,9.35,0,0,0,228677.28,26,74752,3,0,1
R0511,62,Female,None,Bihar,Farmer,5,0,1.23,Corn,1007,Rain-fed,56,2.55,0,0,0,32080.79,19,45942,2,0,1
R0512,27,Male,Secondary,Bihar,Farmer,7,3,2.17,Cotton,1145.8,Rain-fed,71,3.53,0,0,0,123320.2,9,65282,0,0,1
R0513,25,Male,Graduate,Bihar,Daily Wage,3,1,0,None,0,NA,0,0,117155.2,89433.21,42764.83,51710.97,24,112835,3,0,0
R0514,48,Male,Secondary,Tamil Nadu,Farmer,8,5,3.01,Wheat,1287.8,Rain-fed,43,7.52,0,0,0,152841.65,19,59020,3,0,1
R0515,54,Male,Secondary,Madhya Pradesh,Farmer,5,3,5.54,Millets,619.8,Canal,40,4.72,0,0,0,156105.76,18,134572,3,0,1
R0516,53,Male,Graduate,Andhra Pradesh,Dairy,7,2,0,None,0,NA,0,0,278545.37,168225.14,45089.3,121827.52,19,57316,3,0,0
R0517,37,Female,Primary,Kerala,Shopkeeper,2,1,0,None,0,NA,0,0,65993.2,38250.68,26623.5,39230.95,23,133414,3,0,0
R0518,35,Male,Primary,Odisha,Farmer,7,1,0.6,Rice,737.1,Rain-fed,93,0.87,0,0,0,31234.7,18,51333,0,0,1
R0519,53,Male,Primary,Uttar Pradesh,Farmer,3,2,2.33,Rice,790.7,Rain-fed,79,4.92,0,0,0,68682.19,22,187955,0,0,0
R0520,62,Male,Secondary,Bihar,Farmer,7,0,6.24,Millets,772,Borewell,82,5.2,0,0,0,331183.9,20,69852,1,0,1
R0521,36,Female,Secondary,Gujarat,Service Provider,2,1,0,None,0,NA,0,0,142820.1,58847.82,77304.46,114008.32,28,133949,2,0,0
R0522,62,Female,Primary,Kerala,Daily Wage,2,1,0,None,0,NA,0,0,222839.99,117441.1,69367.65,143813.73,26,77169,3,0,0
R0523,36,Female,Primary,Telangana,Shopkeeper,5,1,0,None,0,NA,0,0,127587.85,100200.37,10719.91,58868.98,23,198319,1,0,0
R0524,54,Female,Secondary,Tamil Nadu,Shopkeeper,2,1,0,None,0,NA,0,0,134851.06,72278.65,15525.76,85856.35,17,171877,0,0,1
R0525,24,Female,None,Gujarat,Shopkeeper,5,1,0,None,0,NA,0,0,284516.28,134944.15,36075.63,187431.05,11,57674,0,0,0
R0526,62,Female,Primary,Kerala,Shopkeeper,4,3,0,None,0,NA,0,0,202851.08,93349.82,77765.35,132902.7,20,110063,3,0,0
R0527,24,Male,Primary,Maharashtra,Daily Wage,7,6,0,None,0,NA,0,0,218859.27,153304.54,62770.77,92891.46,24,31169,0,0,0
R0528,42,Female,Primary,Uttar Pradesh,Farmer,2,0,8.61,Pulses,866.8,Canal,45,10,0,0,0,400717.53,19,180380,2,0,1
R0529,22,Female,Primary,Uttar Pradesh,Daily Wage,7,3,0,None,0,NA,0,0,274935.08,209959.7,31971.47,95707.05,17,61388,2,0,0
R0530,48,Male,None,Telangana,Farmer,2,0,1.1,Corn,732.8,Borewell,71,2.43,0,0,0,27275.21,23,78951,3,0,1
R0531,41,Male,Secondary,Karnataka,Farmer,2,1,8.17,Groundnut,523,Borewell,83,13.38,0,0,0,261421.07,21,57949,1,0,1
R0532,24,Male,Primary,Telangana,Service Provider,2,1,0,None,0,NA,0,0,87979.94,54431.28,73168.91,53867.39,23,188364,0,0,0
R0533,61,Male,Primary,Maharashtra,Daily Wage,2,1,0,None,0,NA,0,0,257035.44,161069.23,55992.13,132917.8,19,31838,0,0,0
R0534,30,Male,None,Andhra Pradesh,Farmer,6,4,8.14,Millets,993.3,Borewell,61,7.96,0,0,0,350624.76,19,196697,3,0,0
R0535,56,Male,Secondary,Karnataka,Daily Wage,8,3,0,None,0,NA,0,0,111527.01,47610.17,51639.32,96082.84,20,59329,1,0,1
R0536,29,Female,Secondary,Telangana,Farmer,6,1,9.29,Rice,1001.3,Rain-fed,48,16.4,0,0,0,295926.49,33,89078,3,0,1
R0537,51,Male,None,Maharashtra,Farmer,2,1,8.17,Groundnut,817.3,Rain-fed,84,9.68,0,0,0,364045.5,16,91065,1,0,1
R0538,48,Female,Graduate,Tamil Nadu,Farmer,6,5,2.21,Groundnut,1277.5,Rain-fed,79,4.86,0,0,0,116749.54,20,91635,2,0,1
R0539,35,Male,Graduate,Andhra Pradesh,Daily Wage,2,1,0,None,0,NA,0,0,253371.49,134609.13,24634.16,131303.01,19,172954,1,0,0
R0540,33,Female,Primary,Maharashtra,Shopkeeper,8,2,0,None,0,NA,0,0,113097.29,62474.55,66588.4,85331.45,18,81559,3,0,1
R0541,22,Male,Primary,Uttar Pradesh,Farmer,3,1,6.36,Groundnut,938.1,Rain-fed,42,10.84,0,0,0,135508.47,20,57407,0,0,0
R0542,31,Male,Primary,Maharashtra,Daily Wage,2,0,0,None,0,NA,0,0,217538.3,171520.33,49353.22,77460.57,12,49781,3,0,0
R0543,32,Female,Secondary,Tamil Nadu,Farmer,4,1,7.51,Cotton,989.8,Rain-fed,64,13.83,0,0,0,432120.04,22,90293,0,0,1
R0544,51,Male,None,Madhya Pradesh,Farmer,6,3,4.05,Groundnut,462.9,Rain-fed,86,8.98,0,0,0,212976.7,21,73407,2,0,1
R0545,28,Male,None,Bihar,Daily Wage,3,0,0,None,0,NA,0,0,85409.84,46288.64,38922.08,69395.89,22,97194,3,0,0
R0546,34,Female,Primary,Bihar,Shopkeeper,8,2,0,None,0,NA,0,0,103626.93,47950.78,67911.15,66933.61,19,179486,1,1,0
R0547,51,Male,Primary,Bihar,Farmer,5,2,4.57,Cotton,1128.8,Canal,55,7.98,0,0,0,133696.38,20,192880,3,0,0
R0548,57,Male,Graduate,Bihar,Farmer,5,0,4.97,Rice,970.7,Borewell,67,11.87,0,0,0,281584.4,22,98546,3,0,1
R0549,26,Female,Primary,Gujarat,Shopkeeper,6,0,0,None,0,NA,0,0,240575.49,147356.72,57420.66,116072.51,23,54894,3,0,1
R0550,38,Male,Graduate,Uttar Pradesh,Shopkeeper,2,1,0,None,0,NA,0,0,259903.13,160131.16,69126.61,122711.02,18,72699,1,0,0
R0551,57,Male,Primary,Gujarat,Farmer,3,2,8,Pulses,848.8,Canal,80,17.88,0,0,0,314886.58,20,127417,0,0,1
R0552,24,Female,Secondary,Karnataka,Daily Wage,4,3,0,None,0,NA,0,0,138050.69,57388.74,29039.9,90853.32,19,88787,1,0,1
R0553,41,Male,Graduate,Odisha,Daily Wage,7,2,0,None,0,NA,0,0,221062.36,159645.05,76272.94,83423.68,24,198356,0,0,0
R0554,49,Male,Primary,Karnataka,Shopkeeper,7,4,0,None,0,NA,0,0,66184.7,42451.63,56165.42,54374.44,15,67855,1,0,0
R0555,54,Male,Primary,Uttar Pradesh,Daily Wage,8,3,0,None,0,NA,0,0,133731.94,82724.36,39203.54,65814.35,15,158738,1,0,0
R0556,52,Female,None,Kerala,Farmer,4,2,5.26,Wheat,731.9,Borewell,70,4.36,0,0,0,244425.61,21,69748,2,0,1
R0557,63,Male,Graduate,Tamil Nadu,Farmer,5,0,9.03,Corn,855.1,Rain-fed,44,7.59,0,0,0,482182.93,35,69351,1,0,1
R0558,51,Male,Secondary,Tamil Nadu,Farmer,7,0,9.71,Sugarcane,781.2,Canal,70,8.42,0,0,0,417122.13,18,129153,3,0,1
R0559,38,Male,None,Andhra Pradesh,Daily Wage,8,3,0,None,0,NA,0,0,62712.61,44836.3,31450.3,29084.05,21,195546,2,0,0
R0560,61,Female,Secondary,Gujarat,Daily Wage,7,4,0,None,0,NA,0,0,190607.68,97228.15,59660.72,111524.29,27,123478,3,0,0
R0561,39,Male,Primary,Kerala,Daily Wage,4,2,0,None,0,NA,0,0,72137.54,41150.75,68265.45,65156.25,16,168942,0,0,0
R0562,38,Female,Secondary,Telangana,Farmer,3,2,2.23,Sugarcane,878.8,Borewell,93,5.31,0,0,0,53106.19,19,178017,1,0,1
R0563,40,Male,Primary,Gujarat,Shopkeeper,3,0,0,None,0,NA,0,0,80045.98,38778.31,62672.78,52806.49,20,86848,0,0,0
R0564,42,Male,Primary,Karnataka,Farmer,3,2,9.24,Millets,1034.6,Rain-fed,71,9.93,0,0,0,396209.68,24,56163,3,0,1
R0565,54,Female,Secondary,Uttar Pradesh,Dairy,5,2,0,None,0,NA,0,0,95819.87,48606.52,35275.23,69467.02,22,35894,1,0,0
R0566,48,Female,Secondary,Andhra Pradesh,Shopkeeper,2,0,0,None,0,NA,0,0,154058.54,104585.02,23540.47,78718.65,17,182267,0,0,0
R0567,45,Male,Primary,Gujarat,Shopkeeper,4,0,0,None,0,NA,0,0,131348.93,64623.35,38791.28,83941.53,22,144426,1,0,0
R0568,37,Male,None,Maharashtra,Shopkeeper,8,7,0,None,0,NA,0,0,257844.11,144082.48,20942.19,145900.16,18,76009,0,0,0
R0569,45,Male,Primary,Gujarat,Service Provider,6,4,0,None,0,NA,0,0,79495.11,63360.2,20934.11,55787.54,22,177237,2,0,0
R0570,47,Female,Primary,Madhya Pradesh,Farmer,4,2,9.79,Wheat,425.9,Borewell,53,12.65,0,0,0,378943.96,22,102673,3,0,1
R0571,48,Female,Secondary,Telangana,Farmer,5,3,6.08,Wheat,1042.5,Rain-fed,49,13.66,0,0,0,170611.7,28,169956,2,0,0
R0572,41,Male,Secondary,Bihar,Farmer,2,0,9.19,Millets,523.4,Borewell,51,16.04,0,0,0,470350.34,16,73014,3,0,1
R0573,28,Male,Secondary,Telangana,Farmer,4,3,8.35,Corn,1080.1,Borewell,71,11.28,0,0,0,392945.57,21,146031,3,0,1
R0574,29,Female,Graduate,Kerala,Farmer,8,7,6.83,Corn,990.2,Rain-fed,66,12.14,0,0,0,253819.84,17,68466,3,0,1
R0575,21,Male,Primary,Kerala,Shopkeeper,2,1,0,None,0,NA,0,0,226165.03,111574.7,53773.11,147002.68,16,52266,3,0,0
R0576,50,Male,Secondary,Karnataka,Daily Wage,6,0,0,None,0,NA,0,0,205439.27,151979.57,13149.78,85484.24,18,187906,1,0,0
R0577,49,Male,Primary,Karnataka,Farmer,4,2,9.16,Pulses,816.4,Canal,43,7.54,0,0,0,213097.77,17,137334,2,0,0
R0578,52,Male,Primary,Uttar Pradesh,Farmer,2,0,8.79,Corn,494.8,Borewell,57,13.4,0,0,0,368527.85,15,142850,2,1,1
R0579,29,Male,Secondary,Telangana,Farmer,4,3,9.25,Sugarcane,936.9,Rain-fed,46,16.27,0,0,0,370103.06,12,132155,1,0,1
R0580,55,Male,Primary,Madhya Pradesh,Daily Wage,2,0,0,None,0,NA,0,0,141830.06,108770.5,38461.34,47358,23,119330,0,0,0
R0581,39,Female,Secondary,Telangana,Daily Wage,6,4,0,None,0,NA,0,0,227479.87,172908.73,65453.38,84861.97,17,76232,2,0,0
R0582,27,Male,Graduate,Telangana,Farmer,3,2,1.69,Sugarcane,1087.6,Canal,45,1.98,0,0,0,78540.02,22,32761,0,0,1
R0583,50,Female,Primary,Maharashtra,Farmer,2,0,9.13,Rice,719.1,Canal,44,17.63,0,0,0,385862.44,18,46051,0,0,1
R0584,27,Male,Graduate,Bihar,Farmer,3,2,1.36,Corn,1134.6,Canal,77,3.01,0,0,0,77160.83,22,98345,2,0,0
R0585,59,Male,Secondary,Odisha,Farmer,2,0,7.3,Corn,1076.3,Borewell,50,7.31,0,0,0,146008.97,23,73262,0,0,0
R0586,26,Male,Graduate,Odisha,Shopkeeper,5,2,0,None,0,NA,0,0,63095.39,38874.32,69580.55,62950.02,21,44460,1,0,0
R0587,31,Female,Primary,Madhya Pradesh,Farmer,6,1,7.73,Pulses,1044.2,Canal,47,13.4,0,0,0,272089.53,21,70851,0,0,1
R0588,51,Female,Secondary,Kerala,Farmer,2,0,1.6,Corn,843.4,Borewell,69,1.54,0,0,0,43321.4,20,199247,2,0,0
R0589,34,Female,Graduate,Kerala,Daily Wage,5,1,0,None,0,NA,0,0,199851.47,144890.22,32885.87,74133.57,19,145973,3,0,0
R0590,20,Female,None,Uttar Pradesh,Shopkeeper,5,4,0,None,0,NA,0,0,135657.46,61491.35,54267.74,88015.89,21,149104,0,0,1
R0591,45,Female,Graduate,Bihar,Farmer,7,1,9.76,Pulses,776.2,Borewell,52,20.31,0,0,0,535964.32,20,135259,3,0,1
R0592,51,Female,Secondary,Bihar,Farmer,8,6,6.83,Millets,808.1,Borewell,71,12.63,0,0,0,368808.89,15,193792,2,0,1
R0593,27,Female,Primary,Gujarat,Farmer,7,1,7.51,Wheat,552.4,Borewell,71,7.39,0,0,0,293938.72,21,44625,0,0,1
R0594,44,Female,Primary,Telangana,Daily Wage,6,0,0,None,0,NA,0,0,73686.46,32583.66,50991.14,67433.15,16,169411,3,0,0
R0595,62,Female,Secondary,Gujarat,Daily Wage,6,2,0,None,0,NA,0,0,69978.95,41935.02,58251.73,45613.29,17,182649,0,0,0
R0596,22,Female,Primary,Andhra Pradesh,Farmer,4,3,0.84,Sugarcane,969,Borewell,75,1.71,0,0,0,29058.03,22,62289,2,0,1
R0597,47,Male,Secondary,Kerala,Shopkeeper,5,0,0,None,0,NA,0,0,228417.19,142209.31,35103.51,123548.06,23,144863,3,0,0
R0598,56,Female,Secondary,Gujarat,Farmer,3,2,3,Millets,1157.3,Borewell,79,4.42,0,0,0,150750.45,19,188904,2,0,1
R0599,23,Male,None,Bihar,Farmer,8,5,7.55,Rice,796.1,Borewell,88,13.54,0,0,0,443735.19,18,87682,2,0,1
R0600,42,Female,None,Karnataka,Farmer,3,0,3.46,Wheat,831.8,Rain-fed,84,5.74,0,0,0,91610.14,19,98120,2,0,1
R0601,54,Female,Primary,Maharashtra,Shopkeeper,8,6,0,None,0,NA,0,0,87635.08,66016.33,39037.8,43236.98,22,140200,3,0,0
R0602,57,Male,Primary,Karnataka,Shopkeeper,5,2,0,None,0,NA,0,0,74747.11,54228.23,75835.28,49981.84,30,111161,3,0,0
R0603,41,Female,Secondary,Odisha,Farmer,7,2,3.35,Millets,1190.2,Canal,52,4.97,0,0,0,112303.31,14,57652,0,0,0
R0604,54,Male,Primary,Kerala,Daily Wage,4,3,0,None,0,NA,0,0,236247.76,114233.44,14099.57,148585.3,21,128087,0,0,0
R0605,57,Male,Primary,Bihar,Farmer,2,1,3.8,Wheat,1261.4,Canal,81,5.27,0,0,0,198057.81,20,126195,2,0,1
R0606,32,Female,Primary,Madhya Pradesh,Shopkeeper,6,3,0,None,0,NA,0,0,277924.45,155227.77,30742.81,137000.76,15,131266,1,0,0
R0607,53,Male,Primary,Bihar,Shopkeeper,7,6,0,None,0,NA,0,0,79347.7,61560.12,62859.35,45386.3,25,111063,3,0,0
R0608,59,Female,Secondary,Bihar,Farmer,2,0,1.9,Sugarcane,1119,Borewell,87,4.05,0,0,0,59057.26,29,178773,2,0,0
R0609,24,Male,Primary,Madhya Pradesh,Farmer,4,1,6.21,Millets,986.7,Rain-fed,55,15.22,0,0,0,168204.94,23,98922,1,0,1
R0610,39,Female,Secondary,Gujarat,Shopkeeper,5,3,0,None,0,NA,0,0,183907.99,116277.31,75515.61,97798.2,20,191591,0,0,0
R0611,37,Male,Primary,Maharashtra,Shopkeeper,8,4,0,None,0,NA,0,0,65295.88,51780.19,16029.25,47947.29,17,104775,1,0,1
R0612,51,Male,Graduate,Maharashtra,Shopkeeper,2,1,0,None,0,NA,0,0,214549.58,118513.06,13819.58,124020.35,27,66777,0,0,0
R0613,46,Female,Secondary,Uttar Pradesh,Service Provider,2,1,0,None,0,NA,0,0,166218.56,69702.94,67434.13,131305.84,21,165963,1,0,0
R0614,52,Male,Secondary,Odisha,Farmer,6,4,8.9,Cotton,1153.8,Rain-fed,78,16.67,0,0,0,457248.35,21,192851,2,0,1
R0615,44,Male,Primary,Madhya Pradesh,Farmer,2,0,3.11,Millets,942.6,Borewell,56,5.35,0,0,0,137473.14,16,127173,0,0,0
R0616,43,Male,Secondary,Karnataka,Dairy,5,1,0,None,0,NA,0,0,104361.22,44231.92,52305.15,93040.07,20,143309,1,0,0
R0617,39,Male,Graduate,Uttar Pradesh,Daily Wage,6,0,0,None,0,NA,0,0,79225.37,45691.92,21435.67,49067.22,16,38696,0,0,0
R0618,62,Male,Secondary,Kerala,Service Provider,4,2,0,None,0,NA,0,0,155470.43,94010.32,43830.6,82943.63,25,115968,0,0,0
R0619,35,Female,None,Madhya Pradesh,Farmer,5,2,9.4,Cotton,1239.1,Rain-fed,59,21.55,0,0,0,397760.5,31,46661,1,0,1
R0620,61,Female,Primary,Maharashtra,Farmer,2,1,4.42,Pulses,1279.5,Canal,85,3.87,0,0,0,121156.95,20,37749,0,0,0
R0621,64,Female,None,Odisha,Shopkeeper,5,4,0,None,0,NA,0,0,287033.01,211504.91,30762.87,87843.73,15,50958,2,0,1
R0622,23,Male,Primary,Uttar Pradesh,Farmer,7,1,2.4,Corn,572.5,Borewell,60,3.38,0,0,0,142992.51,14,124304,0,0,1
R0623,35,Male,Secondary,Bihar,Farmer,8,5,8.8,Sugarcane,923.9,Rain-fed,56,8.19,0,0,0,177473.98,22,99834,2,0,1
R0624,46,Female,Primary,Telangana,Farmer,5,4,9.51,Cotton,371.8,Canal,45,8,0,0,0,317775.36,15,192642,1,0,0
R0625,23,Female,Primary,Bihar,Farmer,4,1,4,Wheat,835.3,Borewell,40,7.28,0,0,0,196585.01,17,70277,3,0,0
R0626,63,Female,Primary,Andhra Pradesh,Service Provider,3,0,0,None,0,NA,0,0,83271.76,39272.02,65825.98,74326.11,21,186814,2,0,0
R0627,28,Female,Secondary,Tamil Nadu,Shopkeeper,8,4,0,None,0,NA,0,0,77456.39,39676.29,34495.65,71252.87,16,99644,1,0,0
R0628,29,Male,Graduate,Kerala,Farmer,3,2,2.86,Groundnut,780.5,Rain-fed,45,5.84,0,0,0,105249.26,21,166708,3,0,1
R0629,64,Female,Primary,Uttar Pradesh,Shopkeeper,5,3,0,None,0,NA,0,0,267941.56,113566.21,58443.54,168574.97,19,98466,2,1,0
R0630,23,Female,Primary,Tamil Nadu,Farmer,4,0,5.29,Millets,1115.6,Canal,59,8.9,0,0,0,316664.97,14,97320,2,0,1
R0631,22,Male,Primary,Kerala,Daily Wage,5,2,0,None,0,NA,0,0,91922.35,42605.52,76449.12,85704.87,16,143767,1,1,0
R0632,47,Male,None,Kerala,Farmer,2,0,9.75,Corn,374.6,Canal,87,13.73,0,0,0,426574.45,21,110196,3,0,1
R0633,59,Female,Primary,Odisha,Shopkeeper,3,1,0,None,0,NA,0,0,192833.23,121121.4,24707.5,103979.97,24,74398,3,0,1
R0634,62,Female,Primary,Maharashtra,Farmer,2,0,4.97,Sugarcane,795.7,Canal,85,9.85,0,0,0,212197.32,24,133718,3,0,0
R0635,51,Male,Primary,Gujarat,Farmer,7,4,5.18,Sugarcane,677.7,Canal,47,6.45,0,0,0,190437.41,21,78991,0,0,1
R0636,38,Male,Secondary,Telangana,Shopkeeper,8,4,0,None,0,NA,0,0,61551.45,36838.28,29993.82,56751.42,29,110180,1,0,0
R0637,53,Male,Graduate,Madhya Pradesh,Shopkeeper,3,1,0,None,0,NA,0,0,81941.28,53284.18,48537.22,50878.07,20,63370,2,1,0
R0638,63,Male,Primary,Madhya Pradesh,Farmer,2,1,1.27,Groundnut,892.8,Borewell,69,1.06,0,0,0,69172.58,21,131481,2,0,1
R0639,22,Female,Graduate,Karnataka,Shopkeeper,7,6,0,None,0,NA,0,0,254438.66,145505.67,62490.2,146324.23,21,75696,1,0,0
R0640,38,Female,Secondary,Maharashtra,Farmer,6,4,4.29,Sugarcane,774.1,Canal,55,5.67,0,0,0,181060.96,21,134622,0,0,1
R0641,33,Male,Secondary,Madhya Pradesh,Farmer,4,1,5.16,Millets,750.2,Canal,87,4.84,0,0,0,121319.49,15,66379,1,0,1
R0642,43,Male,Primary,Gujarat,Farmer,5,3,6.2,Wheat,756.2,Canal,88,13.52,0,0,0,127437.81,22,165771,2,0,1
R0643,47,Male,Secondary,Maharashtra,Shopkeeper,5,1,0,None,0,NA,0,0,283860.71,115830.82,20764.86,204615.03,19,142715,1,0,0
R0644,61,Male,Primary,Kerala,Farmer,2,1,9.85,Corn,587.4,Rain-fed,93,19.25,0,0,0,564105.72,17,38368,3,0,1
R0645,24,Male,None,Odisha,Farmer,5,3,6.78,Corn,967.2,Canal,62,8.38,0,0,0,195440.57,20,70641,0,0,1
R0646,21,Male,Primary,Uttar Pradesh,Daily Wage,8,2,0,None,0,NA,0,0,241929.7,170319.05,31881.86,93931.13,17,160196,0,0,1
R0647,65,Female,Secondary,Karnataka,Shopkeeper,5,3,0,None,0,NA,0,0,225997.36,177691.69,37548.87,62227.19,22,127760,2,0,0
R0648,31,Male,None,Telangana,Daily Wage,6,2,0,None,0,NA,0,0,109636.29,65977.19,31853.28,66483.1,22,69478,0,0,0
R0649,21,Male,None,Madhya Pradesh,Farmer,3,2,7.07,Groundnut,854.5,Borewell,59,10.53,0,0,0,217518.89,27,157717,2,0,0
R0650,63,Female,None,Kerala,Farmer,3,0,8.25,Cotton,598.4,Rain-fed,94,7.48,0,0,0,325437.31,13,83880,1,0,1
R0651,35,Female,Graduate,Uttar Pradesh,Farmer,6,1,7.81,Sugarcane,668.6,Canal,70,16.99,0,0,0,429702.65,17,175729,0,0,1
R0652,29,Female,Primary,Gujarat,Shopkeeper,8,7,0,None,0,NA,0,0,243516.23,111695.55,58322.6,170171.4,22,115098,1,0,0
R0653,45,Male,None,Karnataka,Shopkeeper,7,6,0,None,0,NA,0,0,214974.01,129893.35,18396.71,104442.58,18,157810,3,0,0
R0654,58,Female,Primary,Maharashtra,Shopkeeper,5,4,0,None,0,NA,0,0,254867.1,198363.03,31904.37,92259.26,14,156136,3,0,1
